ID;Namn;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
DB-1;Cornelia Stadsutveckling AB;Cornelia Stadsutveckling AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;1;4;#7A2020;#FAEBEB;#FCF6EF
DB-2;Cardiganparken Etapp 4;Cardiganparken Etapp 4 är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;2;3;#7A2020;#FAEBEB;#FCF6EF
DB-3;Pilbäcken Kvartersbolag;Pilbäcken Kvartersbolag är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;3;2;#7A2020;#FAEBEB;#FCF6EF
DB-4;Augustkvarteret AB;Augustkvarteret AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;4;1;#7A2020;#FAEBEB;#FCF6EF
DB-5;Lavendelängen Stadsbygg;Lavendelängen Stadsbygg är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;5;8;#7A2020;#FAEBEB;#FCF6EF
DB-6;Marjorie Utveckling AB;Marjorie Utveckling AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;6;7;#7A2020;#FAEBEB;#FCF6EF
DB-7;Maroon Kvartersbolag AB;Maroon Kvartersbolag AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;7;6;#7A2020;#FAEBEB;#FCF6EF
DB-8;Helig Mark Stadsdel AB;Helig Mark Stadsdel AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;8;5;#7A2020;#FAEBEB;#FCF6EF
DB-9;Drömkvarteret Etapp 2;Drömkvarteret Etapp 2 är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;9;12;#7A2020;#FAEBEB;#FCF6EF
DB-10;Bettyparken AB;Bettyparken AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;10;11;#7A2020;#FAEBEB;#FCF6EF
DB-11;Dagsljus Stadsutveckling AB;Dagsljus Stadsutveckling AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;11;10;#7A2020;#FAEBEB;#FCF6EF
DB-12;Mastermind Stadsbygg AB;Mastermind Stadsbygg AB är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;12;9;#7A2020;#FAEBEB;#FCF6EF
DB-13;Snöstranden Etapp 3;Snöstranden Etapp 3 är ett dotterbolag till Holiday House Holding AB. Uppdraget är avgränsat: att utveckla ett kvarter i staden Åkepol — från projektutveckling, genom planering och genomförande, till långsiktig förvaltning. Moderbolaget står bakom som tyst men kapitalstark partner och garanterar byggnadskreditiv. Strategin lägger ledningsgruppen — det är ert uppdrag.;#7A2020;#7A2020;;13;16;#7A2020;#FAEBEB;#FCF6EF
