Roll;ID;Namn;Specialisering;Rb;Lindring;Händelsemotstand;Nämnd;Q;H;T;Erfarenhet;STA;KOM;SAM;NOG;INN;ABM;Beskrivning;Projekt1;Projekt2;Projekt3;Projekt4;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
CEO;CEO-1;Skepparen;Vision & strategi;-;-;-;-;-;-;-;-;2;1;-;-;1;-;Står på berget och pekar. När alla andra ser molnen ser Riktningsgivaren horisonten. Stark hand på rodret och en gnista nytänkande - men frågar du om kvartalsbokslutet kommer det vara någon annan som svarar.;"Lade fram femårsstrategin ""Vägen mot 5000 lägenheter"" — antagen av styrelsen efter en eftermiddag";Vände bolagets riktning mot mixed-use efter en kaffe med kommunalrådet;Övertygade ägarna att avveckla logistikportföljen två år innan marknaden vände;Etablerade samarbete med internationellt arkitektkontor som ingen i branschen kände till;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CEO Skepparen.png;1;4;#7A2020;#FAEBEB;#FCF6EF
CEO;CEO-2;Förhandlaren;Affärer & relationer;-;-;-;-;-;-;-;-;1;2;1;-;-;-;Stänger affärer på bakplanet av en lunch och hinner samtidigt komma ihåg din frus namn. Skickligast i rummet på att få ett ja - men det betyder också att kalendern ofta gungar och detaljerna lämnas till någon annan.;Stängde markförvärvet i Norra Hamnen tre veckor före konkurrenten — handslag, papper sen;Förhandlade upp markpriset 9 % efter en gemensam middag;Räddade ett dröjande JV-avtal med ett samtal till ordförandens fru;Drev fyra parallella förhandlingar under en och samma kvartalspresentation;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CEO Förhandlaren.png;2;3;#7A2020;#FAEBEB;#FCF6EF
CEO;CEO-3;Värden;Företagskultur;-;-;-;-;-;-;-;-;1;1;-;-;-;2;Tror på att kulturen är hela husgrunden. Bygger ett bolag där folk vill stanna kvar - hög lojalitet, låg sjukfrånvaro, stabilt fundament. Tempot är mjukare och de hårda affärsbesluten kan dröja, men ingen blir kvarglömd på vägen.;Sänkte sjukfrånvaron från 8 % till 3 % på två år;Byggde mentorprogram som nu har tre års kö;Stoppade en redan annonserad omorganisation efter att ha läst stämningen rätt;"Tog hem ""Årets arbetsgivare"" samma år som bolaget gjorde sin lägsta marginal någonsin";#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CEO Värden.png;3;2;#7A2020;#FAEBEB;#FCF6EF
CEO;CEO-4;Profilen;Profil & opinionsbildning;-;-;-;-;-;-;-;-;1;2;-;-;1;-;Talar i Almedalen, sitter i panel på Business Arena, citeras i DI varje torsdag. Sätter bolaget på kartan och drar nya kunder med ett tonfall - men huset hemma ska helst sköta sig självt under tiden.;Talade på tre rikstäckande paneler under samma vecka — tre olika budskap, alla väl mottagna;Citerades 47 gånger i Dagens Industri under ett år;Fick stadens kommunalråd att lyfta bolagets vision i nyårstalet;Lanserade en hashtag som tog över byggbranschen i sex månader;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CEO Profilen.png;4;1;#7A2020;#FAEBEB;#FCF6EF
CEO;CEO-5;Klippan;Krisledarskap;-;-;-;-;-;-;-;-;2;-;-;1;-;1;När larmet går blir alla lugnare bara av att se Klippan sätta sig vid bordet. Trygghet på riktigt, ordning i kaos och blick för säkerhet - men tystlåten i medvind, sällan den som tänder festen.;Höll bolaget samlat under huvudentreprenörens konkurs — inga uppsägningar, inga försenade etapper;Ledde insatsen efter översvämningen — alla uthyrda lägenheter bebodda igen inom åtta veckor;Tog över ledningen under förra VD:ns sjukskrivning utan att någon utomstående märkte;Hanterade en arbetsplatsolycka på ett sätt facket sedan höll fram som modellexempel;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CEO Klippan.png;5;8;#7A2020;#FAEBEB;#FCF6EF
CEO;CEO-6;Medlaren;Inkluderande ledarskap;-;-;-;-;-;-;-;-;1;1;2;-;-;-;Kallar in alla, lyssnar på alla, får alla med på båten. Beslut förankras stenhårt och ingen stångar emot på vägen ut ur rummet. Priset är att processen tar tid - och den första att bli otålig är konkurrenten.;Fick fyra disparata JV-partners att enas om gemensam utvecklingsplan på två workshops;Förenade två sammanslagna ledningsgrupper utan att en enda chef sa upp sig;Tog en kontroversiell omorganisation i mål efter ett halvårs förankring — inga interna utspel;Förhandlade fram en ny entreprenadmodell som både byggherre och entreprenör vill prata om publikt;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CEO Medlaren.png;6;7;#7A2020;#FAEBEB;#FCF6EF
COO;COO-1;Urmakaren;Drift & flöden;-;-;-;-;-;-;-;-;-;-;2;2;-;-;Får hjulen att snurra utan att någon märker hur. Allt flyter, alla deadlines hålls, leveransen kommer innan kunden ringt. Tar inte plats i rampljuset - men slutar Maskinrumsmästaren komma till jobbet stannar tåget på dag tre.;Optimerade leveransflödet på 14 byggprojekt — sänkte stilleståndstid med 22 %;Designade ett produktionsflöde där varje vecka börjar och slutar likadant;Halverade tiden från upphandling till spaden i jorden genom standardisering;Bytte till just-in-time-leverans på fönster och dörrar — ingen byggplats har klagat sedan;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\COO Urmakaren.png;7;6;#7A2020;#FAEBEB;#FCF6EF
COO;COO-2;Förmannen;Människor & miljö;-;-;-;-;-;-;-;-;-;1;1;-;-;2;Pratar med snickaren först och vd:n sist. Kör runt med kaffe och fångar upp signaler innan de blir konflikter. Lojaliteten i organisationen är skyhög - men styrelsen efterlyser ibland mer hårda siffror i föredragningarna.;Höll personalomsättningen under 4 % i fem år;Stoppade en arbetsmiljöincident som var på väg att bli allvarlig — dagen före;Fick byggarbetsplatserna att rapportera fler tillbud än någonsin tidigare — utan att någon kände sig påhoppad;"Drev igenom heta arbetstillstånd även där ""alla redan visste""";#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\COO Förmannen.png;8;5;#7A2020;#FAEBEB;#FCF6EF
COO;COO-3;Generalen;Hård leverans;-;-;-;-;-;-;-;-;2;-;1;1;-;-;Säger nej oftare än ja och betyder det varje gång. Leveranserna kommer i tid, budgeten håller, ursäkterna saknas. Briljant i pressade lägen - men öppna hjärtan bygger inte Generalen, det är ABM-rapportens jobb.;Levererade Kvarteret Norra Stenen tre veckor före tidplan — och 9 % under budget;Bytte underentreprenör tre veckor in i ett projekt utan att tappa fart;Skickade tillbaka 23 ton armering med ord ingen i ledningen vill upprepa;Höll alla 11 milstolpar på sju parallella projekt under det år som mest gick fel i branschen;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\COO Generalen.png;9;12;#7A2020;#FAEBEB;#FCF6EF
COO;COO-4;Pionjären;Digital drift;-;-;-;-;-;-;-;-;-;-;1;1;2;-;Pilotar drönare över bygget och bygger om Excel till Power BI på en eftermiddag. Plockar bort minuter ur varje delprocess. Risk är att förändringen blir snabbare än organisationens mage - men det är en lyxoro.;Implementerade BIM på samtliga projekt — sex månader före branschsnittet;Byggde dashboards som ersatte 14 manuella excel-rapporter;Pilotade drönarinventering på två projekt — sparade 600 mantimmar enbart på lägeskontroller;Fick byggarbetsplatserna att skanna leveranskvitton i mobilen — försvunna fakturor: noll på två år;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\COO Pionjären.png;10;11;#7A2020;#FAEBEB;#FCF6EF
COO;COO-5;Bron;Tvärfunktionell samordning;-;-;-;-;-;-;-;-;-;1;2;-;-;1;Tolk mellan kontoret och fältet, mellan ekonomi och produktion, mellan styrelse och stomresare. Får människor som inte talar samma språk att förstå varandra ändå. Den dag Bron har semester ställs sex möten in.;Översatte mellan ekonomi och produktion under en tre månader lång konflikt — de pratar fortfarande;Designade ett samordningsmöte på 30 minuter som ersatte tre möten på sammanlagt fyra timmar;Fick styrelsen och stomresarna att förstå varandras kalendrar efter sju år av missförstånd;Etablerade ett gemensamt språk mellan inköp och projekt som överlevt två organisationsförändringar;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\COO Bron.png;11;10;#7A2020;#FAEBEB;#FCF6EF
COO;COO-6;Brandsläckaren;Akutoperationer;-;-;-;-;-;-;-;-;1;-;-;2;-;1;Står där det brinner och rycker ut innan någon hunnit larma. Detaljkoll, snabb fot, iskall under press. Den långsiktiga planeringen blir ibland lidande - för det dyker alltid upp en ny brand som behöver släckas först.;Hanterade en grävmaskinincident inom 90 minuter — inga personskador, inga försäkringskrav;Ledde övergången efter huvudentreprenörens konkurs en fredag eftermiddag — produktionen rullade på måndagen;Tog över ett projekt två veckor före slutbesiktning som tappat sju nyckelroller;Räddade en kvalitetsavvikelse på 47 lägenheter med en lösning varken arkitekten eller byggherren trott var möjlig;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\COO Brandsläckaren.png;12;9;#7A2020;#FAEBEB;#FCF6EF
CFO;CFO-1;Rödpennan;Detaljerad ekonomi;-;-;-;-;-;-;-;-;1;-;1;2;-;-;Hittar tolvkronan i en hundramiljonersbudget och ringer dig om den klockan halv åtta på en torsdag. Inget passerar oupptäckt. Mindre lustig att sitta bredvid på en projektgenomgång - men kostnadskontrollen är kompromisslös.;Hittade en felaktig periodisering som kostat bolaget 4,2 mkr om året i tio år;Granskade 17 leverantörsavtal in i minsta detalj och förhandlade ner snittpriset 6,3 %;Implementerade kostnadsuppföljning per arbetspaket på alla projekt — projektcheferna grät de första två månaderna;Avslöjade ett mönster i ÄTA-arbeten som ledde till en tvist bolaget sedan vann;#7A2020;#7A2020;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\CFO Rödpennan.png;13;16;#7A2020;#FAEBEB;#FCF6EF
