Roll;ID;Namn;Specialisering;Rb;Lindring;Händelsemotstand;Nämnd;Q;H;T;Erfarenhet;STA;KOM;SAM;NOG;INN;ABM;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
PROJEKTCHEF;PC-1;Politikern;Politik;-;5;Politikkort;;;;;1;1;3;-;-;-;-;Korridorernas kung. Vet exakt vilken politiker som behöver en kopp kaffe och vem som vill bli bjuden på lunch. Oöverträffad på att avvärja politiska stormar, men saknar kontakter i nämnden och har en tunn säkerhetsmarginal om något går snett.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Politikern.png;1;4;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-2;Diplomaten;Politik;2;1;Politikkort;1;;;;1;1;2;-;-;-;-;Omtyckt av alla. Navigerar med lika stor elegans i politiska rum som i medborgardialoger. Lagom med allt, aldrig bäst på något, men aldrig sämst heller. Tryggt val för den som inte vill satsa.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Diplomaten.png;2;3;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-3;Stadshusräven;Nämnd;1;3;Nämnd;3;;;;1;1;2;-;-;-;-;Tjugo år i kommunhuset har byggt ett kontaktnät som ingen annan kan matcha. Nämnden litar blint på stadshusräven. Men utanför nämndrummet? Tystlåten profil, lindrar knappt politikens vindar och har lite att falla tillbaka på om det går fel.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Stadshusräven.png;3;2;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-4;Visionären;Politik;1;3;Dialogkort;2;1;;;;-;1;-;-;-;-;Målar framtidsbilder som får medborgare att drömma och nämndledamöter att nicka. Briljant i dialoger och stark i nämnden. Men fråga inte om detaljplaneprocessen, här ses skogen, inte träden. Och glöm inte, tunn säkerhetsmarginal om verkligheten knackar på.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Visionären.png;4;1;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-5;Den Erfarne;Hållbarhet;2;1;Politikkort;1;;1;;;1;2;-;-;-;-;Har sett det mesta. Bygger inga slott i luften men levererar stadiga projekt med hållbarhet i ryggraden. Inga genvägar, inga överraskningar. Trygg startpunkt, så länge du inte behöver driva igenom ett svårt nämndärende.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Den Erfarne.png;5;8;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-6;Hållbarhetsivraren;Hållbarhet;1;3;Dialogkort;1;;2;;;1;1;-;-;-;-;Pratar hållbarhet som andra pratar väder, naturligt och ständigt. Projekt får automatiskt en grön prägel. Stark i medborgardialog och godkänd i nämnden. Men vid en politisk kris? Bara tomma blickar.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Hållbarhetschefen.png;6;7;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-7;Tidsoptimisten;Tid & Risk;3;;;;;;1;;1;1;-;-;-;-;Springer. Alltid. Projekt startar snabbare än alla andras och har en generös riskbuffert att luta sig mot. Men inga nämndkontakter, ingen lindring när stormarna kommer, och om det politiska läget hårdnar finns inget paraply.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Tidsoptimisten.png;7;6;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-8;Kvalitetsfanatikern;Kvalitet;2;1;Dialogkort;;2;;;;1;2;-;-;-;-;Mäter två gånger och skär en gång. Kvaliteten i varje projekt är oslagbar, men noll intresse för nämndpolitik och medelgod dialogförmåga. Rätt val när kvalitetskraven blir tuffa.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Kvalitetsfanatikern.png;8;5;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-9;Nätverkaren;Dialog;1;3;Dialogkort;2;;;;;2;2;-;-;-;-;Känner alla, och alla känner Nätverkaren. Styrkan är bredden, lindrar lite överallt och har bra nämndkontakter. Ledarskapet och kommunikationen sitter. Men tunn i varje dimension, bredd före djup.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Nätverkaren.png;9;12;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;PC-10;Allroundern;Generalist;2;1;Politikkort;1;1;;;;1;1;-;-;-;-;Skickas in när ingen vet vad projektet behöver. Rimlig krisberedskap, rimligt nämndstöd, ett öga för kvalitet. Inte spektakulär, men ständigt användbar. En sund säkerhetsmarginal ger trygghet.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Projektchef Allroundern.png;10;11;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;;;;;;;;;;;;;;;;;;;#9E968E;#605951;;11;10;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;;;;;;;;;;;;;;;;;;;#9E968E;#605951;;12;9;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;;;;;;;;;;;;;;;;;;;#9E968E;#605951;;13;16;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;;;;;;;;;;;;;;;;;;;#9E968E;#605951;;14;15;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;;;;;;;;;;;;;;;;;;;#9E968E;#605951;;15;14;#DDA063;#FAF1E8;#FCF6EF
PROJEKTCHEF;;;;;;;;;;;;;;;;;;;#9E968E;#605951;;16;13;#DDA063;#FAF1E8;#FCF6EF
ARBETSCHEF;AC-1;Samordnaren;Samordning;1;3;Nämnd;;1;;;2;1;1;4;-;-;-;Personen med whiteboarden. Inget möte börjar utan samordningsplanen och ingen leverantör glider undan. Oöverträffad samordning, ingen i klassen kommer i närheten. Men produktionen får andra sköta, och tunn säkerhetsmarginal gör att varje beslut måste sitta.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Samordnaren.png;1;4;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-2;Produktionsspecialisten;Produktion;2;1;Politikkort;;1;;;1;1;1;-;4;-;-;Lever på bygget. Betong, stål och tidsplaner är hela världen. En produktionsmästare med öga för kvalitet, idealisk för produktionstunga projekt. Erfarenheten är medel, men en sund säkerhetsmarginal ger andrum.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Produktionsspecialisten.png;2;3;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-3;Generalisten;Generalist;2;1;Dialogkort;;;1;;2;2;1;1;1;-;-;Gör lite av allt och gör det bra. Hyggligt ledarskap och bred kompetens innebär att Generalisten aldrig är svagast, men heller aldrig starkast. Hög erfarenhet och ett rejält skyddsnät gör detta till det trygga valet.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Generalisten.png;3;2;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-4;Kommunikatören;Kommunikation;1;3;Dialogkort;;;;1;1;1;4;1;-;-;-;Pratar sig ur problem som andra löser med pengar. En exceptionell kommunikatör utan like, utmaningar som kräver dialog klaras utan att blinka. Tidspressen minskar. Men samordning och produktion? Inte direkt en styrka. Och tunn säkerhetsmarginal om det blåser upp.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Kommunikatören.png;4;1;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-5;Arbetsmiljöprofilen;Arbetsmiljö;1;3;Politikkort;;;1;;2;1;-;1;-;-;4;Noll tolerans för risker på arbetsplatsen. En arbetsmiljöexpert utan like, den enda som verkligen täcker arbetsmiljökraven, och det brukar behövas. Hållbarhetsfokus på köpet. Men glöm kommunikation, det får någon annan sköta.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Arbetsmiljöprofilen.png;5;8;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-6;Tidplaneraren;Tidplan;2;1;Politikkort;;;;1;1;2;-;1;2;-;-;Tidplanen håller. Alltid. Hyggligt ledarskap och produktionskunnande ger verktygen att driva bygget framåt, och tidsbonusen gör att hela projektet andas. Svag kommunikation kompenseras av att leverans alltid sker i tid.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Tidplaneraren.png;6;7;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-7;Kvalitetscoachen;Kvalitet;1;3;Nämnd;;2;;;2;1;2;-;2;-;-;Ser fel som ingen annan ser. Höjer kvaliteten märkbart i varje projekt, och en smart mix av kommunikation och produktion täcker de flesta utmaningar. Hög erfarenhet, men tunn säkerhetsmarginal om oförutsedda saker händer.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Kvalitetscoachen.png;7;6;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-8;Ledarskapsprofilen;Ledarskap;;5;Dialogkort;;;1;1;1;3;1;1;-;-;-;Leder. Punkt. En naturlig ledare som klarar ledarskapstunga krav utan att svettas. Bred men ytlig kompetens i övrigt, kompenseras av hög erfarenhet och ett rejält skyddsnät. Hållbarhetsbonus gör rollen extra attraktiv.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Ledarskapsprofilen.png;8;5;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-9;Hållbarhetsingenjören;Hållbarhet;2;3;Dialogkort;;;1;1;1;1;-;2;1;-;-;Tror på gröna lösningar och har det generösaste skyddsnätet i hela klassen att bevisa det. Samordning och produktion fungerar, men ledarskap och kommunikation är svaga och kräver en stark organisation runtomkring.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Hållbarhetsingenjören.png;9;12;#1A6B9A;#DDE9F0;#FCF6EF
ARBETSCHEF;AC-10;Partnering-experten;Partnering;;5;Dialogkort;;1;;;2;-;3;2;1;-;-;Bygger broar mellan människor. Stark kommunikatör och duktig samordnare, en naturlig partneringledare. Kvalitetsmedveten och erfaren. Men med tunn säkerhetsmarginal och inget eget ledarskap behövs stöd ovanifrån.;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Arbetschef Partnering-experten.png;10;11;#1A6B9A;#DDE9F0;#FCF6EF
;AC-11;;;;;;;;;;;;;;;;;;#9E968E;#605951;;11;10;#1A6B9A;#DDE9F0;#FCF6EF
;AC-12;;;;;;;;;;;;;;;;;;#9E968E;#605951;;12;9;#1A6B9A;#DDE9F0;#FCF6EF
