ID;Typ;Rubrik;Effekt_Mkr;Beskrivning;fill_color;line_color;@bild;ordning_bild;ordning_text;skede_color;bakskede;bakgrund_color
DD-01;Kostnad;Dolda fuktskador i bjälklag;-1;Fukt har trängt in via otäta genomföringar och skadat bärande konstruktion.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;1;4;#EF5656;#FDE6E6;#FCF6EF
DD-02;Kostnad;Energiklass lägre än uppgivet;-0,5;Energideklarationen visar sämre klass än säljaren angivit. Tilläggsisolering krävs.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;2;3;#EF5656;#FDE6E6;#FCF6EF
DD-03;Kostnad;Vakant yta ej redovisad i prospekt;-0,5;Säljaren har dolt att hela bottenvåningen stått tom i sex månader.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;3;2;#EF5656;#FDE6E6;#FCF6EF
DD-04;Neutral;Fastigheten stämmer med prospektet;0;Genomgången visar inga avvikelser. Byggnaden är i gott skick.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;4;1;#EF5656;#FDE6E6;#FCF6EF
DD-05;Kostnad;Fel i hyreskontrakt upptäcks;-0,5;Indexklausuler saknas i tre kommersiella hyresavtal.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;5;8;#EF5656;#FDE6E6;#FCF6EF
DD-06;Kostnad;Asbest i ventilationskanaler;-1,5;Sanering av asbest i äldre ventilationskanaler krävs före ombyggnad.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;6;7;#EF5656;#FDE6E6;#FCF6EF
DD-07;Positiv;Stambyte nyligen genomfört;2;Stammar och badrum renoverades för två år sedan. Lägre underhållsbehov.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;7;6;#EF5656;#FDE6E6;#FCF6EF
DD-08;Kostnad;Radonhalt över gränsvärde;-0,5;Mätning visar förhöjd radonhalt. Radonsug måste installeras.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;8;5;#EF5656;#FDE6E6;#FCF6EF
DD-09;Kostnad;Mark förorenad under garage;-0,5;Miljöutredning visar att marken under garaget innehåller bly och olja.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;9;12;#EF5656;#FDE6E6;#FCF6EF
DD-10;Positiv;Taket nylagt med 25 års garanti;0,5;Tätskikt och isolering är nyligen åtgärdade med lång garantitid.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;10;11;#EF5656;#FDE6E6;#FCF6EF
DD-11;Kostnad;Hiss behöver moderniseras;-0,5;Hissen uppfyller inte nya tillgänglighetskrav. Kostsam uppgradering.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;11;10;#EF5656;#FDE6E6;#FCF6EF
DD-12;Kostnad;Brandskyddet brister i garage;-1;Automatiskt brandlarm och sprinkler saknas i garageplanet.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;12;9;#EF5656;#FDE6E6;#FCF6EF
DD-13;Kostnad;Fasaden vittrar;-1;Tegelfasadens fogar är nedslitna och behöver helfogning.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;13;16;#EF5656;#FDE6E6;#FCF6EF
DD-14;Positiv;Miljöcertifiering bekräftad;0,5;Fastigheten har giltig Miljöbyggnad Silvercertifiering.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;14;15;#EF5656;#FDE6E6;#FCF6EF
DD-15;Kostnad;Dolda servitut begränsar;-1;Servitut ger grannfastigheten rätt att använda garageinfarten.;#7A2020;#EF5656;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;15;14;#EF5656;#FDE6E6;#FCF6EF
;;;;;#9E968E;#605951;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Due Diligence Due Diligence.png;16;13;#EF5656;#FDE6E6;#FCF6EF
