Typ;Nr;Rubrik;Text;1;2-10;11-15;16-19;20;@bildsida;@textsida;fill_color;line_color;ordning_bild;ordning_text
Politik;P01;Grannprotester;Boende i området protesterar mot planerna;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav;Ingen effekt;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;1;4
Politik;P02;Miljökrav skärps;Nya regler för hållbart byggande införs;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav och +1  hållbarhetskrav;+ 1  hållbarhetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;2;3
Politik;P03;Byråkratisk fördröjning;Handläggningen tar längre tid än väntat;Lämna tillbaka projekt med högst intäkt;Ingen effekt;Ingen effekt;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;3;2
Politik;P04;Politisk maktkamp;Oenighet i kommunstyrelsen fördröjer beslut;Lämna tillbaka projekt med högst intäkt;+ 1  hållbarhetskrav;+ 1  kvalitetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;4;1
Politik;P05;Mediagranskning;Lokalmedia ifrågasätter projektets kvalitet;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav och +1  hållbarhetskrav;+ 1  kvalitetskrav;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;5;8
Politik;P06;Parkeringskonflikt;Grannar kräver fler parkeringsplatser;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav;Ingen effekt;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;6;7
Politik;P07;Kvalitetsgranskning;Kommunen höjer kraven på materialkvalitet;Lämna tillbaka projekt med högst intäkt;+ 2 kvalitetskrav;+ 1  kvalitetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;7;6
Politik;P08;Infrastrukturproblem;Bristande VA-kapacitet upptäcks;Lämna tillbaka projekt med högst intäkt;+ 1  hållbarhetskrav;+ 1  hållbarhetskrav;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;8;5
Politik;P09;Bullerkrav;Skärpta krav på bullerreducering införs;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav och +1 hållbarhetskrav;+ 1  hållbarhetskrav;Ingen effekt;+1 riskbuffert;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;9;12
Politik;P10;Valår-osäkerhet;Kommande val skapar politisk osäkerhet;Lämna tillbaka projekt med högst intäkt;+ 1  kvalitetskrav;Ingen effekt;Ingen effekt;+2 riskbuffertar;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Politikkort Politikkort.png;;#2F4F4F;#2F4F4F;10;11
