Fas;Kort_ID;ID;Namn;Typ;Fas;Svårighetsgrad;Beskrivning;Summering;Trigger;Klassvillkor;Tröskel_1_5;Tröskel_6_17;Tröskel_18_20;Tröskel_21_plus;@bildsida;@textsida;fill_color;line_color;Rubrik;ordning_bild;ordning_text;skede_color;bakgrund_color;bakskede
Förberedelse;DIGITALISERING;1;IT-system kan inte integreras vid projekteringsstart;Negativt;Förberedelse;Tidig-Medium;Projektets digitala system (BIM, tidplan, ekonomi och klimatkalkyl) kan inte synkroniseras. Data till klimatdeklarationen måste matas in manuellt.;Digitalisering, Stödfunktioner;Alla;Alla;Kvalitetsbrist: -4 Mkr, -1 Q;Mindre problem: -2 Mkr;Hanterat: -1 Mkr;Väl hanterat: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Digitalisering.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;1;4;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;DIGITALISERING;2;BIM-modellen har felaktigheter;Neutralt;Förberedelse;Medium;Vid granskning visar BIM-modellen fel mått på håltagningar och genomföringar. Konsulterna måste uppdatera modellerna och klimatkalkylen får räknas om.;Digitalisering, Operativt team;Alla;Skalad;Mindre problem: -2 Mkr;Mindre justering: -1 Mkr;Väl planerat: Ingen effekt;Effektivisering: +1 Q;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Digitalisering.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;2;3;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;DIGITALISERING;3;Digital samordningsplattform ger effekt;Positivt;Förberedelse;Sen;Gemensam projektplattform med realtidsuppföljning ger alla konsulter samma lägesbild över ritningar, klimatkalkyl och hållbarhetsmål.;Digitalisering, Operativt team, Stödfunktioner;Alla;Alla;Teamet missar möjligheten: Ingen effekt;Mindre förbättring: +2 Mkr;God förbättring: +4 Mkr;Revolutionerande: +1 H, +10 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Organisation Digitalisering.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;3;2;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;FASADER;4;Fasadmaterial underkänns av stadsarkitekt;Negativt;Förberedelse;Sen;Kommunens gestaltningsråd underkänner fasadtypen och kräver ett mer beständigt eller återbrukat material. Ny fasadprojektering krävs.;FASADER, Operativt team, Digitalisering;Alla;Skalad (BTA);Kvalitetsbrist: -4 Mkr, -1 Q;Mindre problem: -2 Mkr;Hanterat: -1 Mkr;Väl hanterat: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer FASADER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;4;1;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;FASADER;5;Fasaddetaljer krockar med energikrav;Negativt;Förberedelse;Medium;Arkitektens fasadutformning ger köldbryggor som inte uppfyller nya byggreglers U-värdeskrav. Omarbetning av anslutningsdetaljer.;FASADER, Operativt team;Alla;Skalad;Kvalitetsbrist: -2 Mkr, -1 H;Mindre problem: -1 Mkr;Hanterat: Ingen effekt;Väl hanterat: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer FASADER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;5;8;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;FASADER;6;Fasadval ökar projektvärdet;Positivt;Förberedelse;Sen;Arkitektens förslag på fasadmaterial med god klimatdeklaration och tydlig hållbarhetsprofil stärker projektets attraktivitet vid förhandsförsäljning.;FASADER, Försäljning;Alla;Alla;Ingen effekt;Mindre försäljningsökning: +1 Mkr;God försäljningsökning: +3 Mkr;Mycket god försäljningsökning: +5 Mkr, +1 H;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer FASADER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;6;7;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;FASADER;7;Fasadritning kolliderar med fönsterplacering;Negativt;Förberedelse;Medium;Fasaduppritningen stämmer inte med planlösningens fönsterplacering. Samordning mellan A- och K-handlingar behövs.;FASADER, Logistik;Alla;Skalad (BTA);Fördröjning: 2 månader;Fördröjning: 1 månad;Hanterat: Ingen effekt;Väl planerat: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Leverantörer FASADER.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;7;6;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;GEM ARBETEN;8;Gemensamma utrymmen saknas i programhandling;Negativt;Förberedelse;Medium;Programmet missar att specificera soprum med källsortering, cykelförråd och teknikutrymmen. Komplettering av handlingarna krävs.;Gemensamma arbeten, Operativt team;Alla;Alla;Fördröjning: 3 månader;Fördröjning: 2 månader;Fördröjning: 1 månad;Väl löst: Ingen effekt;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Leverantörer GEMENSAMMA ARBETEN.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;8;5;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;GEM ARBETEN;9;Gemensamma ytor omfördelas i ritning;Neutralt;Förberedelse;Medium;Omfördelning av gemensamma ytor i planritning ger bättre funktion men kräver ny brandritning.;Gemensamma arbeten, Planering;Alla;Skalad;Mindre problem: -1 Mkr;Justering: Ingen effekt;Väl planerat: +1 Mkr;Optimalt: +2 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Leverantörer GEMENSAMMA ARBETEN.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;9;12;#1A6B9A;#FCF6EF;#DDE9F0
Förberedelse;GEM ARBETEN;10;Beställaren vill ha fler gemensamma ytor (B-ÄTA);Neutralt;Förberedelse;Medium;BRF-styrelsen vill lägga till gym och samlingslokaler för delningsekonomi mellan boende. Programändring och ny kostnadskalkyl behövs.;Gemensamma arbeten, Beställare;Alla;Alla;Kostnad: -2 Mkr;Kostnad: -1 Mkr;Hanterat: Ingen effekt;Väl förhandlat: +1 Mkr;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder/Händelsekort Planering.png;C:\Users\niklas.sviden\OneDrive - Åke Sundvalls Byggnads AB\SPELET 2\Bilder\Skapade bilder\Leverantörer GEMENSAMMA ARBETEN.png;#0F3D5C;#1A6B9A;HÄNDELSEKORT;10;11;#1A6B9A;#FCF6EF;#DDE9F0
